hashtags,id,possibly_sensitive,text
MeToo,1052082560942129153,False,"Mallika Dua on #MeToo: Guys Understand Consent, I Refuse to Believe That They Don’t https://t.co/aVIRSXoCRo https://t.co/D23qc2UX3b"
MeToo,1052090909565886464,False,"An interesting take on the #MeToo movement on the SHEROES app, women questioning the victimhood lens afforded to the female gender. https://t.co/BeeT3YYXQY https://t.co/2oJqHmS2K2"
MeToo,1052094870641201153,False,"#MeToo: panel to probe cases yet to happen....
https://t.co/A6z9wQetn5 https://t.co/7iZ1Qm7kDw"
AnirbanBlah Kwan MeToo,1052090411844546560,False,Me Too: Celebrity management company KWAN asks Anirban Blah to step aside post sexual misconduct allegations- https://t.co/40Jqgslqy5 #AnirbanBlah #Kwan #MeToo https://t.co/1PMRwdBI7Y
MeToo,1052090409764044800,False,#MeToo: Bigg Boss Tamil Season 2 Contestant Aishwarya Dutta Praises Chinmayi https://t.co/v9Sat5I09C https://t.co/TAegcdcEHB
throwback MeToo PinjraTod,1052082344339869701,False,"#throwback to earlier this year, when TYPF was part of a group of people across the world who spoke to @GenderatWorkPod about #MeToo on college campuses  and its impact. We spoke about the ICCs, #PinjraTod and feminist movements in universities. https://t.co/nsLqaYIEhd https://t.co/18V2hs9VOJ"
SaqibSaleem MeToo,1052085710453440513,False,"When I was 21, a man tried to put his hand in my pants: #SaqibSaleem shares his #MeToo story
https://t.co/xGXYHAPmyn https://t.co/8GHkL8bJLb"
MeToo SalmanKhan SalimKhan,1052094741616168960,False,"Me Too: As Salman Khan keeps mum, father Salim Khan comes out in support of harassment survivors; read tweet- https://t.co/os58HRKAhJ #MeToo #SalmanKhan #SalimKhan https://t.co/ayjYTVnbrw"
MeToo BollywoodTimesUp,1052095579659079680,False,"As the #MeToo wave continues to hit the media and entertainment industry, the burning question is will the whistle blowers get justice? #BollywoodTimesUp https://t.co/FB1n3Ei65u https://t.co/RIxwIBXP8p"
Youtoo MeToo,1052089495682715650,False,#Youtoo can avoid being a victim of #MeToo https://t.co/5emqYidFSH
VintaNanda MeToo AlokNath,1052081549766782976,False,"""My client will not be intimidated by threats and defamation,"" said #VintaNanda's lawyer. #MeToo #AlokNath

https://t.co/3Z8Yvw6z3S https://t.co/VJnoL6T1zG"
MeToo,1052094025115811840,False,"#MeToo: In world of Carnatic music and Bharatanatyam, women say harassment is an open secret https://t.co/xuUYF95v0h https://t.co/MP1DPcPYlx"
SaifAliKhan Metoo MeTooIndia,1052092377060528128,False,Another shocker. #SaifAliKhan was also harrassed #Metoo #MeTooIndia https://t.co/nne6i8pOcW
MeToo KateSharma,1052095573988241408,False,#MeToo Photos of #KateSharma and @SubhashGhai1! How can he deny Kate’s allegations when he was doing this at the age of 70+ Years! https://t.co/aIfxXAZ4BC
somyali MeToo glamsham Bollywood SalmanKhan metoo,1052093768734793728,False,"#somyali urges more women for #MeToo Checkout...
https://t.co/CD7amwIK3x

#glamsham #Bollywood #SalmanKhan #metoo @SalmanKhan_Adda @SalmanKhan_ @SalmanKhanHolic @SalmanKhanTzh @SalmanKhan_TZH @BOLLYWOOD_Hindi @SalmanKhanFacts @SalmanKhanForum @SalmanKhanFc4u @SalmanAssamFC https://t.co/Z47UZ2q1z1"
MeToo,1052096530306490368,False,"The #MeToo movement shakes another Bollywood foundation: Anirban Blah, director of Kwan, is called a sexual predator https://t.co/YDH7nkFXH8 https://t.co/La1P3itCsu"
MeToo,1052097634385649665,False,"Amid #MeToo, woman whips DHLF employee for asking sexual favour to gran loan 

Also read: https://t.co/zu1lbsZxSe https://t.co/K6EomkfRXU"
MeToo,1052098136007532544,False,"News Update: After Sona Mohapatra, Singer Varsha Singh Names Kailash Kher in #MeToo Movement
Read News: https://t.co/Phpf0QSMNs https://t.co/rN6DxdtJpA"
metoo,1052095436700319744,False,This is quite something. 4 out of the 5 cities searching for #metoo the most in the world are in India https://t.co/bYmR8jiPWc https://t.co/nPDotOKLlN
MeToo lover MeTooIndia MeTooControversy CongMandirDuplicity congresschorparty RahulKaPuraKhandanChor bjp NewsAlert NavjotSinghSidhu Modi RSS,1052098267608207360,False,"#MeToo
@SoniaGandhi_FC  with her first #lover Franco Luison
#MeTooIndia @RahulGandhi #MeTooControversy 
#CongMandirDuplicity #congresschorparty #RahulKaPuraKhandanChor @BJP4India @BJPLive #bjp @narendramodi #NewsAlert #NavjotSinghSidhu #Modi #RSS @HEMA https://t.co/HRHE9JKFnL"
YouToo MeToo,1052097341518430208,False,"Preserve your Honour
#YouToo can avoid being a victim of #MeToo

_Get to know Islam, the only religion on the face of the earth demanding Hijab for men before Hijab for women!!_ (Qur’an 24:30)
Call to discuss about Modesty In Islam at our Toll free no. 1800 2000 787 https://t.co/gc9AcggTgb"
MeToo,1052085582145318914,False,"Another angle of #MeToo
https://t.co/wxVkumFiNW https://t.co/NctqZyqB5m"
MeToo,1052087939918913536,False,YRF Sacks Top Executive After Aspiring Actress Reveals #MeToo Experience https://t.co/NgObNkdCrc https://t.co/3MLrARDgGZ
metoo,1052092547957436416,False,"This kid will be in #metoo trouble after 15/20 years if the girl join Indian Journalism or bollywood https://t.co/P3hCHnrgwA ""drgpradhan"""
MeToo,1052086887765049345,False,"Re-think what we are teaching our children about rape so that when they grow up, #MeToo won't be a part of their reality. https://t.co/4RFexYQyGh"
MeToo MeTooIndia Chinmayi,1052087135782735872,False,"Believers.. walk the talk.. 

The rest of yea all.. enuff said !!!

#MeToo #MeTooIndia #Chinmayi https://t.co/WJXc5lLbxR"
mumbai BJP MeeToo bjp4india PriyaRamani MeToo TuesdayThoughts India SantRampal VadaChennaiFromTomorrow,1052084572903620608,False,"Take pleasure of our services in Lajpat Nagar
To visit:- https://t.co/UyQEZdDai7
#mumbai
#BJP
#MeeToo
#bjp4india
#PriyaRamani
#MeToo
#TuesdayThoughts
#India
#SantRampal
#VadaChennaiFromTomorrow https://t.co/7VoNu0Ha6y"
YouToo MeToo Islam Islam,1052087335846912000,False,"*Preserve your Honour*

#YouToo can avoid being a victim of #MeToo

Get to know about #Islam, the only religion on the face of the earth demanding Hijab for men before Hijab for women!! (Qur’an 24:30). 
Call to discuss about Modesty In #Islam at our Toll free no. 1800 2000 787 https://t.co/lAz5UnQIEm"
MeToo,1052094512317652992,False,Married man commits suicid harassed by co-workers sexual demands. Not possible that Sachin Mitkari did not name woman concerned but no mention of her name in news reports. Then they say Men should come out with #MeToo stories? They'll be framed in criminal cases if they do so. https://t.co/Xxe4prlLCB
MeToo,1052084873953927168,False,CARTOON OF THE DAY #MeToo https://t.co/hqJRc3b0IZ
MeToo MakingWorkplacesSafe,1052082722657759232,False,"While organizations need to strengthen redressal mechanisms, they also need to go beyond compliance to prevent sexual harassment at workplace. As #MeToo grows, let us double our efforts for #MakingWorkplacesSafe. Watch our video: https://t.co/vACAIDOJkl https://t.co/NAmOabFaQL"
MeToo,1052096831424004097,False,"New Post: Today #MeToo's first hearing, Akbar has done the case on Priya. https://t.co/ueD0qj6IjF https://t.co/N5iafM9zgi"
AccheDin MeTooIndia metoo,1052083802011398144,False,"1 molester and 97 lawyers against 1 Surviver...#AccheDin #MeTooIndia #metoo

@MonaAmbegaonkar https://t.co/lC5wJiAq0O"
BelieveHer BelieveWomen BelieveAllWomen MeToo MeTooIndia,1052095014266793984,False,"Mallika Dua is now supporting Varun Grover all of a sudden after her slobbering dad was exposed by Nishtha Jain .. Lol. What ever happened to #BelieveHer , #BelieveWomen and #BelieveAllWomen ?

#MeToo #MeTooIndia https://t.co/ZiEQnasFjY"
JustinBieber belibers Fans love metoo JesusChrist Blessings purpose life Tours,1052085466621779968,False,"Yeah! Belibers ✝️🙏
@justinbieber @JBCrewdotcom 
#JustinBieber #belibers #Fans #love #metoo #JesusChrist #Blessings #purpose #life #Tours https://t.co/sM9ZAyIYw4"
KanganaRanaut KaranJohar ShabanaAzmi MeToo InDaClub,1052084836670865408,False,"#KanganaRanaut slams #KaranJohar and #ShabanaAzmi for being silent on #MeToo. Listen in
Watch #InDaClub with @radhikaavasthi2 https://t.co/CpQdsVM5uW"
MeToo,1052085871430627328,False,Yash Raj Films Sacks Top Executive After Aspiring Actress Reveals #MeToo Experience https://t.co/4KieTnURA0 https://t.co/sBnPSGQrZl
MeToo,1052085849012297728,False,"As #MeToo movement gains pace, Maneka Gandhi proposes panel to hear cases
to read more go on
https://t.co/SPvgCbNGkm https://t.co/mLLBZnatM3"
MeToo,1052089393757003776,False,We are talking #MeToo. Big time. Finally. https://t.co/zJI4awlEkF https://t.co/5S2VJeUPvP
MeToo,1052089600229957632,False,"#MeToo movement: Actresses @Rakulpreet and @sayyeshaa express support
https://t.co/cBAeorzIND https://t.co/IYIdtgngWz"
MeToo,1052084247048200192,False,"Aamir Khan's new season of Satyameva Jayate, is all set to launch with #MeToo survivors to share their experiences &amp; also to get some of the alleged accused on the show for their point of view. 

Read More: https://t.co/9MXuuDpXvq 
Download @DailyhuntApp: https://t.co/Ez3pAYduhe https://t.co/hpqXzbibco"
RadhaKyonGoriMainKyonKaala PremRSoni NameShameTheRapists MeTooIndia MeToo IuliaVantur JimmySheirgill BollywoodNews Koimoi,1052096197710643200,False,"Here's presenting the first look of #RadhaKyonGoriMainKyonKaala starring @jimmysheirgill and @IuliaVantur! The film will be produced by Studio 5 Elements &amp; directed by #PremRSoni.

#NameShameTheRapists #MeTooIndia #MeToo #IuliaVantur #JimmySheirgill #BollywoodNews #Koimoi https://t.co/koqsPINleY"
NakuulMehta MJAkbar PriyaRamani MeToo,1052081962175922178,False,MeToo: Nakuul Mehta wants to join the fight with Priya Ramani against MJ Akbar- https://t.co/cQ0hI9YQjR #NakuulMehta #MJAkbar #PriyaRamani #MeToo @NakuulMehta https://t.co/PLBzxiRYde
MeToo,1052088362033655808,False,"@nytimes @TaranaBurke #MeToo the victims who have lost it all
This happens to me and to you everyway everyday https://t.co/k1uWnWiWad"
MeToo,1052085070490730496,False,"File your #MeToo complaints with us, says Delhi Commission for Women
to read more go on
https://t.co/z2ERqoLSW5 https://t.co/4WetBS16JC"
MeToo metoo,1052098589466349568,False,"The turning point of my loss of faith in the cause of #MeToo  #metoo has been the choice of this photograph.

Chutiya samjha hai kya? https://t.co/fhBcQIW395"
MeToo 20YearsOfClassicKKHH BadHindu ESPENG AntiBJPMalviya Abdulkalam NameShameTheRapists modelsindelhi delhimodels delhi newdelhi,1052092574813618176,False,"Take pleasure of our services in Delhi
Click here for:- https://t.co/Jl1OUHkpZ8
#MeToo
#20YearsOfClassicKKHH
#BadHindu
#ESPENG
#AntiBJPMalviya
#Abdulkalam
#NameShameTheRapists
#modelsindelhi
#delhimodels
#delhi #newdelhi https://t.co/OoLlCuWHY4"
MeTooDebate BeTheChange MeTooMovement METOO GenderEquality FakeNews,1052096986298503168,False,"@mkatju @BDUTT @Nidhi #MeTooDebate 2 #BeTheChange 4 #MeTooMovement

Until the ""TRUE #METOO VOICES"" dwelling in Uncomfortable Silences in Politics, Entertainment &amp; Media Industry are ""HEARD LOUD &amp; CLEAR"".. #GenderEquality with 50% OFFSET RIGHTS will just be shoved under the Carpet as another #FakeNews. https://t.co/bctC7ckHVu"
MeToo,1052095221817896966,False,"#MeToo: Saqib Saleem reveals he was sexually harassed at 21; says, a man tried to put hands in his pants https://t.co/aXIGIlt3Et"
MeToo AravindhaSametha JanaSenaKavathu UniqueWayToMendYoungMinds MJAkbar Bollywood SantRampal 20YearsOfClassicKKHH WorldFoodDay HBDMusicalSensationAnirudh,1052084007284948992,False,"How to know when you are falling in love 
Click here for:- https://t.co/z1O916plA9
#MeToo
#AravindhaSametha
#JanaSenaKavathu
#UniqueWayToMendYoungMinds
#MJAkbar
#Bollywood
#SantRampal
#20YearsOfClassicKKHH
#WorldFoodDay
#HBDMusicalSensationAnirudh https://t.co/r8hNvfV0YP"
TimesUP MeToo MeTooIndia,1052082936390942720,False,"@videovolunteers 

You cannot ""amplify every single cry of justice"" till you keep giving a dead ear to the the loud screams of many of survivors who are asking for a fair and transparent enquiry.

Ask @stalink to step down.  Your #TimesUP

@whyloiter

#MeToo 
#MeTooIndia https://t.co/bjRrVzyNes"
MeToo,1052093285265809408,False,#MeToo: Yash Raj Films terminates services of Ashish Patil after allegations https://t.co/nHLVSbxCmC https://t.co/DXKLMUMWyG
MeToo Hinduism Hindu HinduCharter Hindus antihindumedia CongressOpposesRamMandir Congress CongressMuktBharat congresshatepolitics congresschorparty,1052092883824594945,False,"@vivekagnihotri #MeToo a bad Hindu. Plz mind it Mr. ThuThu.....@ShashiTharoor.

#Hinduism
#Hindu
#HinduCharter
#Hindus #antihindumedia #CongressOpposesRamMandir #Congress #CongressMuktBharat #congresshatepolitics #congresschorparty https://t.co/z3lvSPWGxo"
AnirbanBlah MeToo Kwan,1052096482579554304,False,"Kwan co-founder #AnirbanBlah steps aside in wake of #MeToo Allegations
Here's a statement from #Kwan https://t.co/y5J6SON9P3"
MissionSAHASI meToo,1052082982855487488,False,Say &amp; act #MissionSAHASI to avoid #meToo in future https://t.co/YtGzGDwUQr
MeToo MeToo,1052092477430161408,False,"Is #MeToo alive or dead?

It's surely Dead for men.. coz it knows no pain of Men.

For men #MeToo is dead movement.

https://t.co/zsloUZYQX1 https://t.co/bR8rHl0Gem"
MeToo,1052097078459916289,False,#MeToo Campaign is FAKE! https://t.co/2yjmMBIRqM
delhimodels TuesdayThoughts WorldFoodDay PaulAllen LachhuMaharaj BadHindu Ganderbal Spain PriyaRamani MeToo,1052087530768789504,False,"We give you some tips you will love that
Click here for:- https://t.co/QbfPSICxyi
#delhimodels
#TuesdayThoughts
#WorldFoodDay
#PaulAllen
#LachhuMaharaj
#BadHindu
#Ganderbal
#Spain
#PriyaRamani
#MeToo https://t.co/jFmFjF9Iw7"
MeToo MeTooIndia MeTooControversy metooinindia metoo MeToo4Publicity,1052082058976083968,False,#MeToo #MeTooIndia #MeTooControversy #metooinindia #metoo memes #MeToo4Publicity https://t.co/xZR34jKvwh
MeToo,1052095275664375808,False,#MeToo: Bollywood's top talent manager Anirban Blah accused of harassment by four aspiring actresses https://t.co/HX7xa5NheD
makeup makeuplover makeuptutorial bridalmakeup beauty fashionable beautifulouies TheFabApp FabOccasions mua MeToo wedding MeTooIndia indianbride MeTooControversy weddingday instabeauty instagood,1052078098588479488,False,"Loving the Goddess look of this Bride.. ❤

Makeup by : Aliya Baig

#makeup #makeuplover #makeuptutorial #bridalmakeup #beauty #fashionable #beautifulouies #TheFabApp #FabOccasions #mua #MeToo #wedding #MeTooIndia #indianbride #MeTooControversy #weddingday #instabeauty #instagood https://t.co/3FzYGTKSCz"
MeToo,1052078892121387008,False,"News Update: ""Truth My Only Defence"": Journalist Sued By MJ Akbar Over #MeToo Charge
Read News: https://t.co/lbbr0d1Rwk https://t.co/SU2y3eONXy"
MeToo MeToo case hearing Priya today,1052072717481123840,False,"Today #MeToo's first hearing, Akbar has done the case on Priya. ##MeToo #case #hearing #Priya #today https://t.co/I9ci6WU1qO https://t.co/HAl4mqOy4r"
AllauddinKhilji GoodHindu SomnathMandir MeToo,1052055456313556994,False,"@ShashiTharoor How did #AllauddinKhilji &amp; descendants repay the religious tolerance of #GoodHindu JaySingh?

Did they allow the restored #SomnathMandir to remain UnMolested? #MeToo !

The BadMuslims battered our Mandir to pieces, fitting our Sacred Moorti in the pedestal of Jama Masjid Delhi! https://t.co/IAdiDLdNrb"
MeToo,1052065097395269633,False,"We must not regress into the morass of believing that all workplaces are dens of abuse, all male colleagues are harassers, 
and all apples are rotten, writes @NandiniNai #MeToo https://t.co/wt7Sb4XH9m https://t.co/TFrEDmMhPh"
MeToo,1052078492253208576,False,#MeToo: Will @arjunk26 @ParineetiChopra Take A Stand Against Dibakar Banerjee For 2011 Sexual Misconduct Allegations? @Parineeti0nline @teamparineetic @ArjunKapoorCafe @arjunkapoorfcx @FilmyMonkey @FullyFilmy_in @filmykiida @filmymantra https://t.co/q9mNaj4HJv
MeToo MeTooIndia,1052071133619482624,False,"#MeToo 
#MeTooIndia 
The first thing Mr. M J Akbar should do is to resign from the post of Minister of State for External Affairs.
You have filed a defamation case that's good but it should come to your mind that the post you are holding will influence the verdict. https://t.co/Vh2Ito6GvQ"
GirlPower Women Woman Girl Team feminist feminism GirlBoss Smile MeToo YesAllWomen TimesUp,1052071806687793153,False,"Beware, She is looking for a sword !

#GirlPower #Women #Woman #Girl #Team #feminist #feminism #GirlBoss #Smile #MeToo #YesAllWomen #TimesUp https://t.co/PMAoyRqtdG"
MeToo,1052069324146597888,False,#MeToo gang suitably rewarded by Rahul Gandhi after attacking MJ Akbar whole night. https://t.co/2kRKNisGLU
MeToo,1052057395986337792,False,"A Man Tried to Put His Hand in My Pants, I Was Only 21: Saqib Saleem Shares His #MeToo Story https://t.co/Joz8f1fmYI https://t.co/WbFzas6smi"
metoo,1052053931872870400,False,He was so ahead of our times. #metoo https://t.co/qYS7LmTBPr
MeTooIndia metoo Shetoo,1052076520532004864,False,Safety first.. #MeTooIndia #metoo #Shetoo https://t.co/WjEHpbcyKv
MeToo ITVideo,1052060672828174336,False,"#MeToo: Journalist Priya Ramani says she is ready for the legal battle after Union minister MJ Akbar filed a defamation suit against her over harassment charges.
#ITVideo
More videos: https://t.co/NounxnP7mg https://t.co/AtX0fr6pNW"
MeToo,1052079926759714816,False,"#MeToo, a woman took to beating up a DHFL bank manager in Davanagere, Karnataka as he had allegedly asked her to sleep with him in lieu of sanctioning her bank loan . https://t.co/jPMd5fBW3k"
Hypocrisy VinodDua metoo MetooIndia INDvWI MJAkbar AlokNath,1052067822375964679,False,"@MallikaDua #Hypocrisy At the best level. 
@ReallySwara @BDUTT @sagarikaghose @sardesairajdeep Wont tweet over #VinodDua bcz of their agenda based journalism. #metoo #MetooIndia #INDvWI #MJAkbar #AlokNath https://t.co/rv6Ku44wKc"
MeToo Vairamuthu Chinmayi wellsaid,1052056379819585537,False,Is there any benefit for issue btw @vairamuthu &amp; @Chinmayi #MeToo when there is N number of issues to talk Indian &amp; TN govt? திங் அபொளட் இட் #Vairamuthu #Chinmayi #wellsaid https://t.co/PoaFdYzOt5
EPVI WeTooMen MeTooIndia MeToo Chinmayi Vairamuthu GunasekaranMu ThanthiTV SexualPredatorVairamuthu SreenivasanJain DMK,1052074078402564097,False,Untold Story of Chinmayi..! #EPVI #WeTooMen #MeTooIndia #MeToo #Chinmayi #Vairamuthu #GunasekaranMu #ThanthiTV #SexualPredatorVairamuthu #SreenivasanJain #DMK https://t.co/QW8eIYim6n
MeToo,1052059530941607942,False,"#MeToo: The father of Sham Kaushal, director of stuntmen and Vicky Kaushal, accused of sexual misconduct by AD! https://t.co/EeuVbjdvjA https://t.co/XpkEDhGEW9"
metooinindia metoo,1052080009584754689,False,After #metooinindia #metoo effect https://t.co/g5zYVWxT3L
BREAKING MeTooVsAkbar MeToo MeTooIndia,1052059851071746048,False,#BREAKING | @MJAkbar defamation case against journalist @priyaramani not listed for today. Matter has been listed for 18th October at 2pm. | #MeTooVsAkbar #MeToo #MeTooIndia https://t.co/BRkJHOVxgA
BadHindu GoPackGo MeToo,1052060011751452673,False,"BJP’ in-house ‘data scientists’ may have told him that ‘Rafale fire’ is catching on. Shah sees an opportunity here and has widened the ambit of his disruptive politics to Hindu — the Ram Mandir at the centre of Rafale row — to seal his ‘advantage’.

#BadHindu 
#GoPackGo 
#MeToo https://t.co/pVdTJ6FLXk"
MeToo MeTooIndia KritiSanon,1052055134182596608,False,"Kriti Sanon questions veracity of
 anonymous #MeToo stories..📰 

#MeTooIndia #KritiSanon https://t.co/DObyzT2eW7"
MeToo,1052055061927550976,False,"In all the furore over MJA, serious allegations against Suhel Seth have fallen by the way side. He's on @worldwomanfund 's Leadership Team.I’ve emailed CEO @rupadash ,COO Upendra Kar, @realkerriwood to at least acknowledge the allegations. Do consider supporting my letter. #MeToo https://t.co/M6pI10A3v5"
ai machinelearning innovation bigdata news BREAKING Browns NEvsKC future MeToo SNF ShopMyCloset PCAs,1052066971494309889,False,"Top Tweet: @ant_connection: 'Robotics in agriculture? Is this the future of food production? #ai #machinelearning #innovation #bigdata #news #BREAKING #Browns #NEvsKC #future #MeToo #SNF #ShopMyCloset #PCAs ' https://t.co/CeXPZ2Bh9r, see more https://t.co/d4mqz9Cq9E"
MeToo,1052066707618127873,False,#MeToo: I’ll Punch Anyone Who Misbehaves With Sara – Saif Ali Khan https://t.co/oH3jKltR3d https://t.co/MLHzmZHEL9
BREAKING MeTooVsAkbar MeToo MeTooIndia SettingTheAgenda,1052060471371558912,False,"#BREAKING -- @mjakbar’s matter not listed for hearing today. Patiala House Court to hear the matter on 18th October. Details by @AnushaSoni23. | #MeTooVsAkbar #MeToo #MeTooIndia 

#SettingTheAgenda with @k_navjyot. https://t.co/E34kf0621p"
MeToo,1052063653984395265,False,#MeToo wave to hit Amitabh Bachchan? Ex Bigg Boss contestant Sapna Bhavnani says? https://t.co/n9m1CZKSfx
MenToo Metoo,1052073191072559104,False,Male victims of sexual harassment exist too #MenToo #Metoo https://t.co/vuuGMKaDoe
MeToo,1052056186768375808,False,"@rohini_sgh What if there is consent during affair and then changed mind for #MeToo .

PS: Not specific to any gender but this can happen as well! https://t.co/WkAmRXIM7W"
MeToo GenderRevolution,1052058041200373761,False,"Men over ages have colonised women as property and cheap labour across the globe. Now, empowered with a voice on social media, they are revolting as #MeToo campaign to reclaim their identity and bodies. 
Men should listen, course correct. 
Its #GenderRevolution https://t.co/LA28y4cpZO"
